Date;AAPL;Tesla;KU2;Facebook
17.07.14;69.1;161.7;43.58;49.69
18.07.14;69.92;161.2;42.96;50
21.07.14;69.58;164.32;42.79;51.65
22.07.14;69.95;164.32;43.84;51.67
23.07.14;72.49;165.77;43.7;52.7
24.07.14;71.96;164.72;44.09;56.6
25.07.14;72.5;167.29;42.67;56.24
28.07.14;73.52;170.58;43.4;56.2
29.07.14;73.75;169;43.55;55.38
30.07.14;73.45;170.38;42.96;56.03
31.07.14;71.38;169.6;41.42;55.02
01.08.14;71.45;175;41.75;53.72
04.08.14;71.2;177.27;41.75;54.98
05.08.14;71.5;177.68;40.73;54.37
06.08.14;70.98;186.31;41.7;54.52
07.08.14;71.36;190.63;41.37;55.22
08.08.14;70.43;185.31;41.6;54.38
11.08.14;71.75;193.62;43;54.66
12.08.14;72.03;192.7;43;54.38
13.08.14;72.4;196.03;43.17;55.32
14.08.14;72.96;195.09;43.64;55.3
15.08.14;72.84;194.85;43.08;54.8
18.08.14;74.29;195.19;44.5;55.93
19.08.14;75.35;191.77;46.07;56.78
20.08.14;76.06;193.29;45.95;56.39
21.08.14;75.8;192;45.63;56.1
22.08.14;76.4;193.18;45.89;56.49
25.08.14;77.08;199.5;46.4;56.82
26.08.14;76.88;199.63;46.75;57.09
27.08.14;77.32;198.97;46.74;56.8
28.08.14;77.85;200;45.65;56.02
29.08.14;77.99;205.96;45.99;56.91
01.09.14;78.9;206.95;46.3;57.12
02.09.14;78.61;216.11;46.72;57.92
03.09.14;76.01;215.75;46.92;58.1
04.09.14;76.45;221.04;47.44;59.29
05.09.14;76.24;213.02;47.3;59
08.09.14;76.1;218.74;47.43;60.07
09.09.14;79.53;218.31;48.62;60.17
10.09.14;77.76;214.68;47.15;60.41
11.09.14;77.22;216.18;47.22;59.8
12.09.14;78.73;218;47.32;59.79
15.09.14;78.59;194.44;47.34;57.09
16.09.14;77.35;200;47.9;58.35
17.09.14;78;201.48;47.05;59
18.09.14;79;205.6;47.03;59.62
19.09.14;79.24;201.52;47.52;60.26
22.09.14;78.63;192.95;48.46;59.41
23.09.14;79.94;196.88;47.15;60.71
24.09.14;79.89;196.77;47.72;61.24
25.09.14;77.43;194.91;47.4;61.4
26.09.14;78.6;194.95;47.26;61.88
29.09.14;79.06;195.07;48.03;62.08
30.09.14;80;191.39;48;62.54
01.10.14;78.44;187.6;46.88;60.7
02.10.14;78.35;196.84;46.14;60.22
06.10.14;79.3;207.38;45.89;61.93
07.10.14;78.63;206.52;44.85;60.91
08.10.14;78.57;202.65;44.27;60.21
09.10.14;79.53;202.82;44.13;60.28
10.10.14;80.66;190.55;44.34;58.88
13.10.14;80;180;44.05;58.64
14.10.14;78.57;181.51;44.38;58
15.10.14;75.05;173.05;43.2;55.95
16.10.14;76.04;177.65;44.1;56.91
17.10.14;76.89;180;45.77;58.9
20.10.14;77.67;180.7;45.17;60.02
21.10.14;80.21;182.7;46.92;61.73
22.10.14;81.79;182.26;47.31;62.27
23.10.14;83;185.73;47.43;63.6
24.10.14;82.85;183.07;47.24;62.91
27.10.14;82.76;174.17;46.37;63.43
28.10.14;83.7;189.37;48.11;62.7
29.10.14;84.75;188.04;48.79;60.24
30.10.14;84.75;189.5;49.43;58.5
31.10.14;85.8;191.09;49.62;59.86
03.11.14;87.75;195.69;49.95;59.31
04.11.14;86.73;189.57;50.37;59.72
05.11.14;87;187.7;52.65;60.03
06.11.14;87.43;195.55;55.2;60.89
07.11.14;87.5;192.3;54.2;60.74
10.11.14;87.73;194.9;55.41;60.34
11.11.14;87.39;199.78;54.58;59.53
12.11.14;89.28;199.9;54.95;59.79
13.11.14;90.31;204.3;54.75;59.25
14.11.14;90.9;205;55.86;59.25
17.11.14;91.43;204.31;56.16;59.62
18.11.14;92.07;206.37;56.74;59.14
19.11.14;91.69;198;58.15;58.85
20.11.14;92.74;198.35;58.52;58.7
21.11.14;93.95;198;58.82;59.7
24.11.14;94.97;198.47;62.56;59.55
25.11.14;94.7;198.98;60.05;60.5
26.11.14;94.73;198.27;58.24;61.97
